time_s,mode,run,laps,losses,event,section,cell,base_gas,target_gas,speed_px_s,x,y,area
7.063,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,106,192,837.5
7.094,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,106,192,838.5
7.266,WAIT_START,0,0,0,,left_curve,"1,2",30,0,8.0,108,192,827.5
7.453,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.6,107,192,827.5
7.656,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,815.5
7.844,WAIT_START,0,0,0,,left_curve,"1,2",30,0,15.2,107,193,821.5
8.047,WAIT_START,0,0,0,,left_curve,"1,2",30,0,11.3,108,192,821.0
8.25,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,822.0
8.36,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,790.5
8.547,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,811.0
8.641,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,811.5
8.766,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,810.0
8.953,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,793.5
9.156,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,815.0
9.344,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,804.0
9.563,WAIT_START,0,0,0,,left_curve,"1,2",30,0,13.0,108,192,813.0
9.75,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,813.0
10.406,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,811.5
10.547,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,791.5
10.656,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,804.0
10.844,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.6,108,192,811.0
11.063,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,807.5
11.25,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,793.5
11.453,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,811.0
11.641,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,809.0
11.86,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,796.5
12.047,WAIT_START,0,0,0,,left_curve,"1,2",30,0,13.0,108,192,801.0
12.156,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,800.0
12.36,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,813.0
12.563,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,798.0
15.188,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.4,108,193,804.0
15.36,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.1,108,192,808.5
15.563,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.6,108,192,800.0
15.672,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,799.0
15.86,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.6,108,193,809.0
16.063,WAIT_START,0,0,0,,left_curve,"1,2",30,0,8.0,108,193,797.0
16.266,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.6,107,192,809.5
16.375,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.1,108,192,799.5
16.563,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.6,108,193,805.0
16.656,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,193,800.0
16.766,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.1,107,193,798.5
16.969,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.8,108,192,801.5
17.172,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.2,108,193,807.0
17.36,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.1,108,192,812.5
17.563,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,793.0
17.766,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,803.5
17.969,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.2,108,193,797.0
18.063,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.1,108,192,808.0
18.281,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,801.0
18.469,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,801.0
18.672,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,786.5
18.766,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,805.0
18.969,WAIT_START,0,0,0,,left_curve,"1,2",30,0,10.8,108,193,792.0
19.078,WAIT_START,0,0,0,,left_curve,"1,2",30,0,9.1,108,192,793.5
26.531,WAIT_START,0,0,0,,left_curve,"1,2",30,0,0.0,108,192,799.0
26.688,WAIT_START,0,0,0,,left_curve,"1,2",30,0,66.8,109,191,541.5
26.781,WAIT_START,0,0,0,,left_curve,"1,2",30,0,257.0,93,214,234.5
27.0,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
27.094,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
27.203,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
27.391,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
27.5,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
27.688,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
27.891,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
28.078,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
28.188,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
28.391,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
28.485,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
28.688,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
28.875,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
29.0,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
29.188,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
29.297,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
29.406,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
29.594,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
29.797,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
29.891,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
30.11,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
30.281,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
30.5,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
30.688,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
30.891,WAIT_START,0,0,0,,not_found,,30,0,0.0,,,
31.094,WAIT_START,0,0,0,,start_finish,"7,5",30,0,325.1,565,430,295.0
31.297,WAIT_START,0,0,0,,start_finish,"7,5",30,0,58.0,565,412,243.0
31.391,WAIT_START,0,0,0,,start_finish,"7,5",30,0,28.7,566,409,248.0
31.578,WAIT_START,0,0,0,,start_finish,"7,5",30,0,10.8,566,408,267.5
31.688,WAIT_START,0,0,0,,start_finish,"7,5",30,0,18.2,564,408,241.0
31.891,WAIT_START,0,0,0,,start_finish,"7,5",30,0,31.9,561,408,147.0
