time_s,car,x,y,area
0.641,orange,897,469,1453.5
0.641,cyan,936,560,547.0
0.719,orange,806,467,1459.5
0.719,cyan,925,560,284.5
0.813,orange,720,467,1463.5
0.813,cyan,937,560,603.0
0.938,orange,630,467,1494.0
0.938,cyan,221,306,652.0
1.031,orange,540,465,1352.0
1.031,cyan,222,310,548.0
1.141,orange,448,462,1383.0
1.141,cyan,224,317,840.0
1.235,orange,357,460,1259.0
1.235,cyan,224,314,790.0
1.344,orange,266,458,1320.0
1.344,cyan,224,314,728.0
1.453,orange,175,455,1293.0
1.453,cyan,225,316,839.5
1.531,orange,94,431,1351.5
1.531,cyan,226,321,941.5
1.656,orange,42,380,1634.0
1.656,cyan,224,315,353.0
1.75,orange,21,316,1768.5
1.75,cyan,226,318,949.5
1.844,orange,28,252,1730.5
1.844,cyan,220,303,422.5
1.938,orange,59,198,1335.5
1.938,cyan,225,320,1228.0
2.047,orange,105,160,1667.5
2.047,cyan,221,308,413.0
2.141,orange,167,148,1294.5
2.141,cyan,226,321,982.5
2.25,orange,227,160,1424.5
2.25,cyan,222,309,457.5
2.328,orange,280,198,1504.0
2.328,cyan,226,318,972.5
2.438,orange,321,248,1524.0
2.438,cyan,222,307,433.0
2.531,orange,376,279,1183.0
2.531,cyan,226,319,963.5
2.625,orange,435,277,1248.5
2.625,cyan,223,310,470.0
2.735,orange,481,247,1158.0
2.735,cyan,226,321,986.0
2.844,orange,518,204,1186.5
2.844,cyan,225,319,1032.5
2.953,orange,566,170,1226.5
2.953,cyan,226,320,975.5
3.031,orange,620,156,1282.5
3.031,cyan,226,320,1026.5
3.141,orange,681,154,1292.0
3.141,cyan,223,312,641.0
3.25,orange,750,154,1337.0
3.25,cyan,225,315,777.0
3.344,orange,822,154,1333.5
3.344,cyan,227,320,702.5
3.438,orange,894,164,1418.0
3.438,cyan,221,305,521.0
3.531,orange,964,178,1379.0
3.531,cyan,230,328,365.0
3.641,orange,1034,193,1397.5
3.641,cyan,223,310,685.5
3.735,orange,1105,204,1396.5
3.735,cyan,225,316,883.5
3.844,orange,1168,235,1430.5
3.844,cyan,226,318,862.0
3.953,orange,1200,291,1548.0
3.953,cyan,226,320,841.5
4.047,orange,1194,353,1550.5
4.047,cyan,225,318,900.0
4.141,orange,1161,401,1372.5
4.141,cyan,228,326,684.5
4.235,orange,1111,423,1258.0
4.235,cyan,226,319,929.5
4.344,orange,1054,428,1202.5
4.344,cyan,226,319,917.5
4.453,orange,989,427,1298.0
4.453,cyan,225,318,801.0
4.531,orange,918,425,1305.0
4.531,cyan,225,318,833.5
4.641,orange,841,425,1297.5
4.641,cyan,226,320,899.0
4.75,orange,759,425,1261.5
4.75,cyan,226,319,857.5
4.844,orange,672,424,1250.0
4.844,cyan,225,318,892.5
4.938,orange,583,423,1237.0
4.938,cyan,226,319,887.5
5.047,orange,493,421,1242.0
5.047,cyan,226,321,875.0
5.156,orange,402,418,1311.5
5.156,cyan,226,320,896.5
5.25,orange,312,415,1342.5
5.25,cyan,222,309,670.5
5.344,orange,222,413,1345.5
5.344,cyan,225,316,879.0
5.438,orange,137,403,1286.5
5.438,cyan,225,318,849.5
5.547,orange,82,360,1331.0
5.547,cyan,225,319,919.0
5.641,orange,64,303,1340.5
5.641,cyan,225,319,951.0
5.735,orange,79,248,1371.0
5.735,cyan,226,319,997.0
5.844,orange,118,206,1334.5
5.844,cyan,226,321,894.0
5.938,orange,171,192,1304.5
5.938,cyan,226,320,959.5
6.031,orange,224,209,1419.0
6.031,cyan,225,318,930.0
6.141,orange,263,248,1463.0
6.141,cyan,225,319,914.5
6.266,orange,305,292,1367.0
6.266,cyan,225,317,926.0
6.344,orange,361,322,1281.5
6.344,cyan,225,319,973.0
6.453,orange,423,325,1206.5
6.453,cyan,225,319,912.5
6.547,orange,480,304,1202.5
6.547,cyan,225,319,901.0
6.656,orange,525,264,1169.5
6.656,cyan,225,319,952.5
6.75,orange,570,220,1183.5
6.75,cyan,225,318,887.5
6.844,orange,628,200,1207.5
6.844,cyan,225,319,960.5
6.938,orange,691,199,1273.0
6.938,cyan,226,320,915.0
7.063,orange,762,199,1287.5
7.063,cyan,225,319,843.5
7.156,orange,836,201,1348.0
7.156,cyan,225,317,907.5
7.25,orange,908,191,1349.0
7.25,cyan,222,309,639.5
7.344,orange,979,178,1346.5
7.344,cyan,222,309,698.5
7.453,orange,1053,164,1349.0
7.453,cyan,226,319,845.0
7.547,orange,1126,165,1432.0
7.547,cyan,226,320,926.0
7.641,orange,1192,193,1637.5
7.641,cyan,225,319,902.5
7.766,orange,1235,250,1908.5
7.766,cyan,225,320,940.5
7.86,orange,1248,315,2028.0
7.86,cyan,226,320,907.5
7.938,orange,1234,380,1930.0
7.938,cyan,225,320,930.0
8.047,orange,1192,433,1431.0
8.047,cyan,225,320,922.0
8.156,orange,1131,457,565.5
8.156,cyan,225,318,946.5
8.25,orange,1067,477,634.5
8.25,cyan,225,319,937.5
8.344,orange,1003,471,1273.5
8.344,cyan,225,318,877.0
8.453,orange,944,473,524.5
8.453,cyan,225,318,939.5
8.563,orange,862,470,719.5
8.563,cyan,225,319,912.0
8.656,orange,768,469,1261.0
8.656,cyan,226,320,902.0
8.75,orange,679,468,1287.0
8.75,cyan,226,320,919.5
8.844,orange,589,467,1266.5
8.844,cyan,225,319,921.5
8.953,orange,497,465,1266.0
8.953,cyan,225,319,959.0
9.047,orange,405,462,1251.5
9.047,cyan,225,319,930.0
9.156,orange,314,460,1267.5
9.156,cyan,226,320,947.0
9.25,orange,222,457,1296.0
9.25,cyan,225,319,922.0
9.36,orange,134,448,1320.5
9.36,cyan,226,320,844.0
9.453,orange,65,411,1534.5
9.453,cyan,225,319,960.5
9.547,orange,28,350,1663.0
9.547,cyan,226,321,849.0
9.672,orange,20,286,1948.0
9.672,cyan,226,320,906.0
9.766,orange,42,224,1380.0
9.766,cyan,226,320,912.5
9.86,orange,80,175,1662.0
9.86,cyan,225,319,927.5
9.938,orange,137,148,1639.5
9.938,cyan,225,318,928.0
10.063,orange,199,151,1353.0
10.063,cyan,226,319,891.0
10.156,orange,257,178,1482.0
10.156,cyan,226,320,921.5
10.25,orange,301,226,1536.0
10.25,cyan,220,306,624.0
10.36,orange,350,268,1286.0
10.36,cyan,225,319,911.0
10.469,orange,409,283,1220.0
10.469,cyan,225,319,913.5
10.563,orange,461,263,1238.5
10.563,cyan,225,318,944.0
10.656,orange,499,223,1170.5
10.656,cyan,226,320,953.5
10.75,orange,543,184,1224.5
10.75,cyan,225,319,958.5
10.86,orange,595,160,1238.0
10.86,cyan,225,319,949.5
10.969,orange,653,154,1299.0
10.969,cyan,225,320,944.0
11.063,orange,718,154,1317.5
11.063,cyan,225,319,935.5
11.156,orange,790,154,1287.0
11.156,cyan,225,318,921.0
11.266,orange,862,159,1376.0
11.266,cyan,226,319,917.0
11.36,orange,932,173,1383.5
11.36,cyan,225,319,948.5
11.453,orange,1001,187,1405.5
11.453,cyan,222,310,715.0
11.547,orange,1072,202,1379.5
11.547,cyan,224,316,803.0
11.656,orange,1142,218,1375.0
11.656,cyan,225,319,897.0
11.766,orange,1190,263,1548.0
11.766,cyan,225,318,942.0
11.86,orange,1201,325,1568.0
11.86,cyan,225,318,895.5
11.969,orange,1180,380,1454.0
11.969,cyan,225,318,929.0
12.063,orange,1135,417,1309.5
12.063,cyan,221,307,612.5
12.156,orange,1080,427,1287.0
12.156,cyan,225,318,945.5
12.25,orange,1019,427,1234.0
12.25,cyan,225,319,925.0
12.36,orange,952,427,1406.5
12.36,cyan,221,307,602.5
12.453,orange,877,425,1316.0
12.453,cyan,225,319,901.0
12.563,orange,797,424,1293.0
12.563,cyan,221,309,619.5
12.656,orange,712,424,1264.5
12.656,cyan,225,318,822.0
12.766,orange,624,423,1256.5
12.766,cyan,226,321,926.0
12.86,orange,535,422,1239.0
12.86,cyan,225,319,898.5
12.969,orange,444,419,1260.5
12.969,cyan,226,320,900.0
13.047,orange,353,416,1296.5
13.047,cyan,225,320,934.0
13.172,orange,265,414,1356.0
13.172,cyan,226,321,923.5
13.266,orange,175,411,1330.5
13.266,cyan,223,314,646.5
13.36,orange,103,383,1331.0
13.36,cyan,225,319,877.5
13.453,orange,67,330,1360.5
13.453,cyan,226,320,884.0
13.563,orange,69,271,1383.0
13.563,cyan,227,322,849.5
13.656,orange,98,222,1351.5
13.656,cyan,226,319,887.0
13.75,orange,146,195,1322.0
13.75,cyan,225,320,868.5
13.86,orange,200,198,1337.5
13.86,cyan,225,319,876.0
13.969,orange,247,229,1487.0
13.969,cyan,226,319,833.0
14.063,orange,283,273,1455.0
14.063,cyan,225,318,880.5
14.156,orange,334,310,1356.0
14.156,cyan,225,319,744.5
14.266,orange,395,327,1279.0
14.266,cyan,226,320,875.0
14.36,orange,455,317,1186.0
14.36,cyan,225,319,866.5
14.469,orange,506,286,1207.5
14.469,cyan,226,319,916.0
14.563,orange,545,239,1198.5
14.563,cyan,226,319,905.5
14.672,orange,599,205,1224.0
14.672,cyan,226,320,862.5
14.75,orange,659,199,1240.5
14.75,cyan,222,310,699.5
