time_s,x,y,speed_px_s,section,distance_px
0.641,897,469,0.0,bottom_straight,0.0
0.719,806,467,1166.9,bottom_straight,91.0
0.813,720,467,914.9,bottom_straight,177.0
0.938,630,467,720.0,bottom_straight,267.0
1.031,540,465,968.0,start_finish,357.0
1.141,448,462,836.8,bottom_straight,449.1
1.235,357,460,968.3,bottom_straight,540.1
1.344,266,458,835.1,bottom_straight,631.1
1.453,175,455,835.3,left_curve,722.2
1.531,94,431,1083.1,left_curve,806.7
1.656,42,380,582.7,left_curve,879.5
1.75,28,316,697.0,left_curve,945.0
1.844,28,252,680.9,left_curve,1009.0
1.938,59,198,662.4,left_curve,1071.3
2.047,105,160,547.4,left_curve,1130.9
2.141,167,160,659.6,left_curve,1192.9
2.25,227,160,550.5,s_curve,1252.9
2.328,280,198,836.1,s_curve,1318.2
2.438,321,248,587.8,s_curve,1382.8
2.531,376,277,668.6,s_curve,1445.0
2.625,435,277,627.7,s_curve,1504.0
2.735,481,247,499.3,s_curve,1558.9
2.844,518,204,520.4,top_straight,1615.6
2.953,566,170,539.6,top_straight,1674.5
3.031,620,156,715.2,top_straight,1730.3
3.141,681,154,554.8,top_straight,1791.3
3.25,750,154,633.0,top_straight,1860.3
3.344,822,154,766.0,top_straight,1932.3
3.438,894,164,773.3,top_straight,2005.0
3.531,964,178,767.6,top_straight,2076.4
3.641,1034,193,650.8,top_straight,2148.0
3.735,1105,204,764.3,right_curve,2219.8
3.844,1168,235,644.2,right_curve,2290.0
3.953,1194,291,566.4,right_curve,2351.8
4.047,1194,353,659.6,right_curve,2413.8
4.141,1161,401,619.7,right_curve,2472.0
4.235,1111,423,581.1,right_curve,2526.6
4.344,1054,427,524.2,bottom_straight,2583.8
4.453,989,427,596.3,bottom_straight,2648.8
4.531,918,425,910.6,bottom_straight,2719.8
4.641,841,425,700.0,bottom_straight,2796.8
4.75,759,425,752.3,bottom_straight,2878.8
4.844,672,424,925.6,bottom_straight,2965.8
4.938,583,423,946.9,start_finish,3054.8
5.047,493,421,825.9,bottom_straight,3144.8
5.156,402,418,835.3,bottom_straight,3235.9
5.25,312,415,958.0,bottom_straight,3325.9
5.344,222,413,957.7,bottom_straight,3416.0
5.438,137,403,910.5,left_curve,3501.5
5.547,82,360,640.5,left_curve,3571.4
5.641,79,303,607.2,left_curve,3628.4
5.735,79,248,585.1,left_curve,3683.4
5.844,118,206,525.8,left_curve,3740.7
5.938,171,206,563.8,left_curve,3793.7
